Event,Tm,J1,J2,St,S,n,Q
J1,58.278541561503275,58.88489864479325,59.67525044886483,58.32275560375165,1,30,"J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1"
J1,58.30883501618353,60.966990412953834,59.67525044886483,58.32275560375165,1,31,"J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1"
E,58.32275560375165,60.966990412953834,59.67525044886483,58.32275560375165,1,32,"J2, J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1"
J1,60.0250749697214,60.55988778460285,59.67525044886483,60.838510167822115,1,31,"J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1"
E,60.838510167822115,60.55988778460285,59.67525044886483,60.838510167822115,1,32,"J2, J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1"
J1,62.82008389877635,63.69393574838605,59.67525044886483,63.764728324202125,1,31,"J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1"
J1,63.448243933639056,64.15420523665735,59.67525044886483,63.764728324202125,1,32,"J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1"
E,63.764728324202125,64.15420523665735,59.67525044886483,63.764728324202125,1,33,"J1, J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1"
J1,63.83966931797473,67.76524837485874,59.67525044886483,65.97669358292005,1,32,"J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1"
J1,65.65210548788387,66.56158201255474,59.67525044886483,65.97669358292005,1,33,"J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1"
J2,65.8780211705302,66.56158201255474,67.14118645322615,65.97669358292005,1,34,"J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1"
E,65.97669358292005,66.56158201255474,67.14118645322615,65.97669358292005,1,35,"J1, J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2"
J2,66.66608454457557,66.56158201255474,76.9524457788555,68.28458405573711,1,34,"J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2"
J2,67.31983715296278,66.56158201255474,69.19344770583166,68.28458405573711,1,35,"J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2"
